class,recall,precision,f1,support
Benign,0.99581255083919,0.99979254800938,0.99779858060864,382333
Exploits,0.8652399264337067,0.8822025230139788,0.8736388959230185,5981
Fuzzers,0.9244369096633568,0.7983685421459945,0.8567901234567902,4129
Reconnaissance,0.8880931065353626,0.8884908195253023,0.8882919185135437,2234
Generic,0.843906510851419,0.8946902654867257,0.8685567010309279,1198
DoS,0.4275449101796407,0.655045871559633,0.5173913043478261,835
Shellcode,0.9754385964912281,0.432348367029549,0.5991379310344828,285
Backdoor,0.2694610778443114,0.24064171122994651,0.2542372881355932,167
Analysis,0.6753246753246753,0.09454545454545454,0.16586921850079744,154
Worms,0.9393939393939394,0.5849056603773585,0.7209302325581395,33
