instance,true_class,explainer,p_original,comprehensiveness_auc,sufficiency_auc,comp_k1,comp_k2,comp_k3,comp_k4,comp_k5,comp_k6,comp_k7,comp_k8,comp_k9,comp_k10,suff_k1,suff_k2,suff_k3,suff_k4,suff_k5,suff_k6,suff_k7,suff_k8,suff_k9,suff_k10
1571748,Analysis,LIME,0.5571417212486267,-0.442670202255249,1.7457548912320762,0.9986947,0.99982125,0.9999505,0.99994123,0.99994195,0.99994195,0.99993205,0.999964,0.9999628,0.99996877,0.99975353,0.998879,0.98882675,0.9731429,0.971931,0.971931,0.9578873,0.96417034,0.9524703,0.94733757
1571748,Analysis,TreeSHAP,0.5571417212486267,-0.4426542162895203,1.7575826012403386,0.9986947,0.99982125,0.99985445,0.9998635,0.99992037,0.9999167,0.9999405,0.99998033,0.9999819,0.9999857,0.99975353,0.998879,0.9988638,0.9986656,0.99809414,0.9979284,0.94855416,0.9549112,0.9527517,0.9438234
1571748,Analysis,Random,0.5571417212486267,-0.0737757682800293,1.794868607329592,0.2899398,0.2899398,0.3045047,0.74978185,0.78725076,0.79370004,0.7760647,0.78380376,0.7400226,0.7941669,0.99999917,0.99999917,0.99999917,0.9999962,0.99999654,0.99999404,0.99999416,0.99999404,0.9999951,0.9999944
1124981,Analysis,LIME,0.5643075704574585,-0.43548893332481386,1.7497823609375645,0.9985384,0.9997272,0.99992704,0.9999558,0.9999627,0.9999627,0.99995327,0.99997425,0.99997866,0.9999851,0.99975353,0.998879,0.98882675,0.9848305,0.985788,0.985788,0.98802674,0.9885097,0.977391,0.97636026
1124981,Analysis,TreeSHAP,0.5643075704574585,-0.43547341227531433,1.7462613717862459,0.9985384,0.9997272,0.9998797,0.9998747,0.9998952,0.99997795,0.9999747,0.99997914,0.99998045,0.99998236,0.99975353,0.998879,0.99845374,0.9979753,0.9977913,0.99840194,0.9975515,0.95608497,0.9601707,0.9492238
1124981,Analysis,Random,0.5643075704574585,-0.20738251209259034,1.771677452677631,0.5667864,0.57393444,0.5196938,0.5277813,0.53222364,0.9994399,0.99937147,0.99937147,0.9991492,0.9991492,0.99999917,0.99999917,0.99999905,0.99999905,0.99999905,0.99964035,0.99968016,0.99968016,0.99935764,0.99935764
1259370,Analysis,LIME,0.5846776366233826,-0.41449211835861205,1.689102433077796,0.99362975,0.9991487,0.99975663,0.9997744,0.9998067,0.9998889,0.99990106,0.9999254,0.9999206,0.9999454,0.99975353,0.998879,0.98882675,0.98811185,0.98969483,0.9880866,0.9833734,0.985872,0.9771236,0.9760824
1259370,Analysis,TreeSHAP,0.5846776366233826,-0.41452889442443847,1.6870391791921575,0.99362975,0.9991487,0.9998235,0.99984014,0.99985206,0.9999039,0.9999267,0.9999765,0.99998057,0.99998343,0.99975353,0.998879,0.99809605,0.9973346,0.99708396,0.9951379,0.9958806,0.9965295,0.93473834,0.95030725
1259370,Analysis,Random,0.5846776366233826,-0.0015795141458511352,1.710340929792585,0.61769754,0.47666213,0.39770317,0.47609308,0.49039927,0.7010656,0.7010656,0.7010656,0.6540841,0.6467354,0.99999917,0.99999905,0.9999989,0.9999989,0.9999988,0.9999976,0.9999976,0.9999976,0.99999654,0.9999969
1016305,Analysis,LIME,0.4786659777164459,-0.5206775665283203,2.0734616267048285,0.9946168,0.99926096,0.99979,0.9999002,0.9999715,0.9999796,0.9999765,0.9999789,0.9999788,0.9999821,0.99975353,0.998879,0.98882675,0.994005,0.99349254,0.9936959,0.9930969,0.9929484,0.98800665,0.98224974
1016305,Analysis,TreeSHAP,0.4786659777164459,-0.5206125438213348,2.0725673067015165,0.9946168,0.99926096,0.9996588,0.9997589,0.9998234,0.99986327,0.999863,0.9999789,0.99997914,0.999982,0.99975353,0.998879,0.9992893,0.9991824,0.99180675,0.9878848,0.983155,0.9857547,0.98799163,0.9869774
1016305,Analysis,Random,0.4786659777164459,-0.26986048817634584,2.0891352634100526,0.49192056,0.50779855,0.5483322,0.4938608,0.52132225,0.97311044,0.9848358,0.9871565,0.98680043,0.9901271,0.99999917,0.9999989,0.9999988,0.99999905,0.9999989,0.9999987,0.9999982,0.9999982,0.99999535,0.99999404
1764370,Analysis,LIME,0.7398223876953125,-0.2599691331386566,1.3393093546973291,0.9985821,0.99971443,0.99992085,0.99992085,0.9999511,0.99995136,0.9999589,0.9999589,0.9999589,0.99999785,0.99975353,0.998879,0.98882675,0.98882675,0.99102426,0.9903582,0.9865471,0.9865471,0.9865471,0.99120015
1764370,Analysis,TreeSHAP,0.7398223876953125,-0.2599551796913147,1.322585190651748,0.9985821,0.99971443,0.99986255,0.99982685,0.9998697,0.99998164,0.9999844,0.9999851,0.999984,0.99998486,0.99975353,0.998879,0.99808925,0.99727196,0.99698275,0.99763906,0.966812,0.9361646,0.9388089,0.9543813
