,LIME,TreeSHAP,Permutation,TOPSIS
#1,min_ttl,max_ip_pkt_len,l7_proto,src_to_dst_second_bytes
#2,max_ttl,longest_flow_pkt,protocol,tcp_win_max_in
#3,min_ip_pkt_len,l7_proto,icmp_ipv4_type,icmp_type
#4,server_tcp_flags,min_ttl,num_pkts_128_to_256_bytes,icmp_ipv4_type
#5,tcp_flags,max_ttl,max_ip_pkt_len,tcp_win_max_out
#6,client_tcp_flags,src_to_dst_second_bytes,retransmitted_out_bytes,max_ip_pkt_len
#7,shortest_flow_pkt,dst_to_src_second_bytes,num_pkts_256_to_512_bytes,longest_flow_pkt
#8,src_to_dst_second_bytes,protocol,tcp_flags,server_tcp_flags
#9,tcp_win_max_in,in_bytes,out_pkts,client_tcp_flags
#10,dst_to_src_second_bytes,shortest_flow_pkt,client_tcp_flags,tcp_flags
